case,kind,history,policy,eligible,collateral,recovered,changed,status
18,set,31,undoscope,False,False,False,False,conflict
18,set,31,deny,False,False,False,False,denied
19,set,32,snapshot,False,True,False,True,compensated
19,set,32,mapped,False,True,False,True,compensated
19,set,32,value,False,False,False,False,conflict
19,set,32,object,False,False,False,False,conflict
19,set,32,field,False,False,False,False,conflict
19,set,32,undoscope,False,False,False,False,conflict
19,set,32,deny,False,False,False,False,denied
20,set,33,snapshot,True,True,False,True,compensated
20,set,33,mapped,True,False,True,True,compensated
20,set,33,value,True,False,True,True,compensated
20,set,33,object,True,False,False,False,conflict
20,set,33,field,True,False,True,True,compensated
20,set,33,undoscope,True,False,True,True,compensated
20,set,33,deny,True,False,False,False,denied
21,set,000,snapshot,False,True,False,True,compensated
21,set,000,mapped,False,True,False,True,compensated
21,set,000,value,False,True,False,True,compensated
21,set,000,object,False,False,False,False,conflict
21,set,000,field,False,False,False,False,conflict
21,set,000,undoscope,False,False,False,False,conflict
21,set,000,deny,False,False,False,False,denied
22,set,001,snapshot,False,True,False,True,compensated
22,set,001,mapped,False,True,False,True,compensated
22,set,001,value,False,False,False,False,conflict
22,set,001,object,False,False,False,False,conflict
22,set,001,field,False,False,False,False,conflict
22,set,001,undoscope,False,False,False,False,conflict
22,set,001,deny,False,False,False,False,denied
23,set,002,snapshot,False,True,False,True,compensated
23,set,002,mapped,False,True,False,True,compensated
23,set,002,value,False,False,False,False,conflict
23,set,002,object,False,False,False,False,conflict
23,set,002,field,False,False,False,False,conflict
23,set,002,undoscope,False,False,False,False,conflict
23,set,002,deny,False,False,False,False,denied
24,set,003,snapshot,False,True,False,True,compensated
24,set,003,mapped,False,True,False,True,compensated
24,set,003,value,False,True,False,True,compensated
24,set,003,object,False,False,False,False,conflict
24,set,003,field,False,False,False,False,conflict
24,set,003,undoscope,False,False,False,False,conflict
24,set,003,deny,False,False,False,False,denied
25,set,010,snapshot,False,True,False,True,compensated
25,set,010,mapped,False,True,False,True,compensated
25,set,010,value,False,True,False,True,compensated
25,set,010,object,False,False,False,False,conflict
25,set,010,field,False,False,False,False,conflict
25,set,010,undoscope,False,False,False,False,conflict
25,set,010,deny,False,False,False,False,denied
26,set,011,snapshot,False,True,False,True,compensated
26,set,011,mapped,False,True,False,True,compensated
26,set,011,value,False,False,False,False,conflict
26,set,011,object,False,False,False,False,conflict
26,set,011,field,False,False,False,False,conflict
26,set,011,undoscope,False,False,False,False,conflict
26,set,011,deny,False,False,False,False,denied
27,set,012,snapshot,False,True,False,True,compensated
27,set,012,mapped,False,True,False,True,compensated
27,set,012,value,False,False,False,False,conflict
27,set,012,object,False,False,False,False,conflict
27,set,012,field,False,False,False,False,conflict
27,set,012,undoscope,False,False,False,False,conflict
27,set,012,deny,False,False,False,False,denied
28,set,013,snapshot,False,True,False,True,compensated
28,set,013,mapped,False,True,False,True,compensated
28,set,013,value,False,False,False,False,conflict
28,set,013,object,False,False,False,False,conflict
28,set,013,field,False,False,False,False,conflict
28,set,013,undoscope,False,False,False,False,conflict
28,set,013,deny,False,False,False,False,denied
29,set,020,snapshot,False,True,False,True,compensated
29,set,020,mapped,False,True,False,True,compensated
29,set,020,value,False,True,False,True,compensated
29,set,020,object,False,False,False,False,conflict
29,set,020,field,False,False,False,False,conflict
29,set,020,undoscope,False,False,False,False,conflict
29,set,020,deny,False,False,False,False,denied
30,set,021,snapshot,False,True,False,True,compensated
30,set,021,mapped,False,True,False,True,compensated
30,set,021,value,False,False,False,False,conflict
30,set,021,object,False,False,False,False,conflict
30,set,021,field,False,False,False,False,conflict
30,set,021,undoscope,False,False,False,False,conflict
30,set,021,deny,False,False,False,False,denied
31,set,022,snapshot,False,True,False,True,compensated
31,set,022,mapped,False,True,False,True,compensated
31,set,022,value,False,False,False,False,conflict
31,set,022,object,False,False,False,False,conflict
31,set,022,field,False,False,False,False,conflict
31,set,022,undoscope,False,False,False,False,conflict
31,set,022,deny,False,False,False,False,denied
32,set,023,snapshot,False,True,False,True,compensated
32,set,023,mapped,False,True,False,True,compensated
32,set,023,value,False,False,False,False,conflict
32,set,023,object,False,False,False,False,conflict
32,set,023,field,False,False,False,False,conflict
32,set,023,undoscope,False,False,False,False,conflict
32,set,023,deny,False,False,False,False,denied
33,set,030,snapshot,False,True,False,True,compensated
33,set,030,mapped,False,True,False,True,compensated
33,set,030,value,False,True,False,True,compensated
33,set,030,object,False,False,False,False,conflict
33,set,030,field,False,False,False,False,conflict
33,set,030,undoscope,False,False,False,False,conflict
33,set,030,deny,False,False,False,False,denied
34,set,031,snapshot,False,True,False,True,compensated
34,set,031,mapped,False,True,False,True,compensated
34,set,031,value,False,False,False,False,conflict
34,set,031,object,False,False,False,False,conflict
34,set,031,field,False,False,False,False,conflict
34,set,031,undoscope,False,False,False,False,conflict
34,set,031,deny,False,False,False,False,denied
35,set,032,snapshot,False,True,False,True,compensated
35,set,032,mapped,False,True,False,True,compensated
35,set,032,value,False,False,False,False,conflict
35,set,032,object,False,False,False,False,conflict
35,set,032,field,False,False,False,False,conflict
35,set,032,undoscope,False,False,False,False,conflict
35,set,032,deny,False,False,False,False,denied
36,set,033,snapshot,False,True,False,True,compensated
36,set,033,mapped,False,True,False,True,compensated
36,set,033,value,False,True,False,True,compensated
36,set,033,object,False,False,False,False,conflict
36,set,033,field,False,False,False,False,conflict
36,set,033,undoscope,False,False,False,False,conflict
36,set,033,deny,False,False,False,False,denied
37,set,100,snapshot,False,True,False,True,compensated
37,set,100,mapped,False,True,False,True,compensated
37,set,100,value,False,True,False,True,compensated
37,set,100,object,False,False,False,False,conflict
37,set,100,field,False,False,False,False,conflict
37,set,100,undoscope,False,False,False,False,conflict
37,set,100,deny,False,False,False,False,denied
38,set,101,snapshot,False,True,False,True,compensated
38,set,101,mapped,False,True,False,True,compensated
38,set,101,value,False,False,False,False,conflict
38,set,101,object,False,False,False,False,conflict
38,set,101,field,False,False,False,False,conflict
38,set,101,undoscope,False,False,False,False,conflict
38,set,101,deny,False,False,False,False,denied
39,set,102,snapshot,False,True,False,True,compensated
39,set,102,mapped,False,True,False,True,compensated
39,set,102,value,False,False,False,False,conflict
39,set,102,object,False,False,False,False,conflict
39,set,102,field,False,False,False,False,conflict
39,set,102,undoscope,False,False,False,False,conflict
39,set,102,deny,False,False,False,False,denied
40,set,103,snapshot,False,True,False,True,compensated
40,set,103,mapped,False,True,False,True,compensated
40,set,103,value,False,True,False,True,compensated
40,set,103,object,False,False,False,False,conflict
40,set,103,field,False,False,False,False,conflict
40,set,103,undoscope,False,False,False,False,conflict
40,set,103,deny,False,False,False,False,denied
41,set,110,snapshot,False,True,False,True,compensated
41,set,110,mapped,False,True,False,True,compensated
41,set,110,value,False,True,False,True,compensated
41,set,110,object,False,False,False,False,conflict
41,set,110,field,False,False,False,False,conflict
41,set,110,undoscope,False,False,False,False,conflict
41,set,110,deny,False,False,False,False,denied
42,set,111,snapshot,False,True,False,True,compensated
42,set,111,mapped,False,True,False,True,compensated
42,set,111,value,False,False,False,False,conflict
42,set,111,object,False,False,False,False,conflict
42,set,111,field,False,False,False,False,conflict
42,set,111,undoscope,False,False,False,False,conflict
42,set,111,deny,False,False,False,False,denied
43,set,112,snapshot,False,True,False,True,compensated
43,set,112,mapped,False,True,False,True,compensated
43,set,112,value,False,False,False,False,conflict
43,set,112,object,False,False,False,False,conflict
43,set,112,field,False,False,False,False,conflict
43,set,112,undoscope,False,False,False,False,conflict
43,set,112,deny,False,False,False,False,denied
44,set,113,snapshot,False,True,False,True,compensated
44,set,113,mapped,False,True,False,True,compensated
44,set,113,value,False,False,False,False,conflict
44,set,113,object,False,False,False,False,conflict
44,set,113,field,False,False,False,False,conflict
44,set,113,undoscope,False,False,False,False,conflict
44,set,113,deny,False,False,False,False,denied
45,set,120,snapshot,False,True,False,True,compensated
45,set,120,mapped,False,True,False,True,compensated
45,set,120,value,False,True,False,True,compensated
45,set,120,object,False,False,False,False,conflict
45,set,120,field,False,False,False,False,conflict
45,set,120,undoscope,False,False,False,False,conflict
45,set,120,deny,False,False,False,False,denied
46,set,121,snapshot,False,True,False,True,compensated
46,set,121,mapped,False,True,False,True,compensated
46,set,121,value,False,False,False,False,conflict
46,set,121,object,False,False,False,False,conflict
46,set,121,field,False,False,False,False,conflict
46,set,121,undoscope,False,False,False,False,conflict
46,set,121,deny,False,False,False,False,denied
47,set,122,snapshot,False,True,False,True,compensated
47,set,122,mapped,False,True,False,True,compensated
47,set,122,value,False,False,False,False,conflict
47,set,122,object,False,False,False,False,conflict
47,set,122,field,False,False,False,False,conflict
47,set,122,undoscope,False,False,False,False,conflict
47,set,122,deny,False,False,False,False,denied
48,set,123,snapshot,False,True,False,True,compensated
48,set,123,mapped,False,True,False,True,compensated
48,set,123,value,False,False,False,False,conflict
48,set,123,object,False,False,False,False,conflict
48,set,123,field,False,False,False,False,conflict
48,set,123,undoscope,False,False,False,False,conflict
48,set,123,deny,False,False,False,False,denied
49,set,130,snapshot,False,True,False,True,compensated
49,set,130,mapped,False,True,False,True,compensated
49,set,130,value,False,True,False,True,compensated
49,set,130,object,False,False,False,False,conflict
49,set,130,field,False,False,False,False,conflict
49,set,130,undoscope,False,False,False,False,conflict
49,set,130,deny,False,False,False,False,denied
50,set,131,snapshot,False,True,False,True,compensated
50,set,131,mapped,False,True,False,True,compensated
50,set,131,value,False,False,False,False,conflict
50,set,131,object,False,False,False,False,conflict
50,set,131,field,False,False,False,False,conflict
50,set,131,undoscope,False,False,False,False,conflict
50,set,131,deny,False,False,False,False,denied
51,set,132,snapshot,False,True,False,True,compensated
51,set,132,mapped,False,True,False,True,compensated
51,set,132,value,False,False,False,False,conflict
51,set,132,object,False,False,False,False,conflict
51,set,132,field,False,False,False,False,conflict
51,set,132,undoscope,False,False,False,False,conflict
51,set,132,deny,False,False,False,False,denied
52,set,133,snapshot,False,True,False,True,compensated
52,set,133,mapped,False,True,False,True,compensated
52,set,133,value,False,False,False,False,conflict
52,set,133,object,False,False,False,False,conflict
52,set,133,field,False,False,False,False,conflict
52,set,133,undoscope,False,False,False,False,conflict
52,set,133,deny,False,False,False,False,denied
53,set,200,snapshot,False,True,False,True,compensated
53,set,200,mapped,False,True,False,True,compensated
53,set,200,value,False,True,False,True,compensated
53,set,200,object,False,False,False,False,conflict
53,set,200,field,False,False,False,False,conflict
53,set,200,undoscope,False,False,False,False,conflict
53,set,200,deny,False,False,False,False,denied
54,set,201,snapshot,False,True,False,True,compensated
54,set,201,mapped,False,True,False,True,compensated
54,set,201,value,False,False,False,False,conflict
54,set,201,object,False,False,False,False,conflict
54,set,201,field,False,False,False,False,conflict
54,set,201,undoscope,False,False,False,False,conflict
54,set,201,deny,False,False,False,False,denied
55,set,202,snapshot,False,True,False,True,compensated
55,set,202,mapped,False,True,False,True,compensated
55,set,202,value,False,False,False,False,conflict
55,set,202,object,False,False,False,False,conflict
55,set,202,field,False,False,False,False,conflict
55,set,202,undoscope,False,False,False,False,conflict
55,set,202,deny,False,False,False,False,denied
56,set,203,snapshot,False,True,False,True,compensated
56,set,203,mapped,False,True,False,True,compensated
56,set,203,value,False,True,False,True,compensated
56,set,203,object,False,False,False,False,conflict
56,set,203,field,False,False,False,False,conflict
56,set,203,undoscope,False,False,False,False,conflict
56,set,203,deny,False,False,False,False,denied
57,set,210,snapshot,False,True,False,True,compensated
57,set,210,mapped,False,True,False,True,compensated
57,set,210,value,False,True,False,True,compensated
57,set,210,object,False,False,False,False,conflict
57,set,210,field,False,False,False,False,conflict
57,set,210,undoscope,False,False,False,False,conflict
57,set,210,deny,False,False,False,False,denied
58,set,211,snapshot,False,True,False,True,compensated
58,set,211,mapped,False,True,False,True,compensated
58,set,211,value,False,False,False,False,conflict
58,set,211,object,False,False,False,False,conflict
58,set,211,field,False,False,False,False,conflict
58,set,211,undoscope,False,False,False,False,conflict
58,set,211,deny,False,False,False,False,denied
59,set,212,snapshot,False,True,False,True,compensated
59,set,212,mapped,False,True,False,True,compensated
59,set,212,value,False,False,False,False,conflict
59,set,212,object,False,False,False,False,conflict
59,set,212,field,False,False,False,False,conflict
59,set,212,undoscope,False,False,False,False,conflict
59,set,212,deny,False,False,False,False,denied
60,set,213,snapshot,False,True,False,True,compensated
60,set,213,mapped,False,True,False,True,compensated
60,set,213,value,False,False,False,False,conflict
60,set,213,object,False,False,False,False,conflict
60,set,213,field,False,False,False,False,conflict
60,set,213,undoscope,False,False,False,False,conflict
60,set,213,deny,False,False,False,False,denied
61,set,220,snapshot,False,True,False,True,compensated
61,set,220,mapped,False,True,False,True,compensated
61,set,220,value,False,True,False,True,compensated
61,set,220,object,False,False,False,False,conflict
61,set,220,field,False,False,False,False,conflict
61,set,220,undoscope,False,False,False,False,conflict
61,set,220,deny,False,False,False,False,denied
62,set,221,snapshot,False,True,False,True,compensated
62,set,221,mapped,False,True,False,True,compensated
62,set,221,value,False,False,False,False,conflict
62,set,221,object,False,False,False,False,conflict
62,set,221,field,False,False,False,False,conflict
62,set,221,undoscope,False,False,False,False,conflict
62,set,221,deny,False,False,False,False,denied
63,set,222,snapshot,False,True,False,True,compensated
63,set,222,mapped,False,True,False,True,compensated
63,set,222,value,False,False,False,False,conflict
63,set,222,object,False,False,False,False,conflict
63,set,222,field,False,False,False,False,conflict
63,set,222,undoscope,False,False,False,False,conflict
