round,policy,microseconds,status
30,deny,41.875,denied
30,value,63.083,compensated
30,field,64.0,compensated
30,mapped,61.125,compensated
30,undoscope,59.917,compensated
31,object,57.583,compensated
31,mapped,57.833,compensated
31,value,61.792,compensated
31,undoscope,66.958,compensated
31,field,70.5,compensated
31,snapshot,70.458,compensated
31,deny,43.875,denied
32,undoscope,59.292,compensated
32,value,58.125,compensated
32,object,56.917,compensated
32,snapshot,70.208,compensated
32,mapped,69.042,compensated
32,deny,222.083,denied
32,field,93.458,compensated
33,snapshot,75.958,compensated
33,undoscope,71.25,compensated
33,mapped,61.709,compensated
33,value,68.459,compensated
33,deny,41.917,denied
33,object,73.625,compensated
33,field,68.0,compensated
34,deny,38.958,denied
34,field,61.25,compensated
34,object,67.125,compensated
34,snapshot,76.375,compensated
34,mapped,71.917,compensated
34,undoscope,73.666,compensated
34,value,63.792,compensated
35,deny,52.708,denied
35,mapped,73.625,compensated
35,snapshot,66.125,compensated
35,field,63.125,compensated
35,undoscope,60.542,compensated
35,value,71.458,compensated
35,object,68.292,compensated
36,deny,41.083,denied
36,field,61.375,compensated
36,snapshot,65.208,compensated
36,object,77.042,compensated
36,mapped,75.375,compensated
36,value,76.709,compensated
36,undoscope,81.5,compensated
37,mapped,68.584,compensated
37,deny,41.75,denied
37,value,62.291,compensated
37,field,67.417,compensated
37,snapshot,81.042,compensated
37,object,71.583,compensated
37,undoscope,71.167,compensated
38,field,72.334,compensated
38,object,71.167,compensated
38,undoscope,229.542,compensated
38,snapshot,89.334,compensated
38,deny,70.125,denied
38,value,68.042,compensated
38,mapped,71.5,compensated
39,value,93.75,compensated
39,field,74.625,compensated
39,deny,50.084,denied
39,mapped,71.125,compensated
39,object,516.083,compensated
39,undoscope,64.25,compensated
39,snapshot,81.333,compensated
40,object,60.375,compensated
40,field,62.125,compensated
40,snapshot,76.5,compensated
40,deny,46.667,denied
40,undoscope,67.458,compensated
40,mapped,63.167,compensated
40,value,57.292,compensated
41,undoscope,56.542,compensated
41,deny,39.667,denied
41,object,73.625,compensated
41,field,59.167,compensated
41,snapshot,62.459,compensated
41,mapped,64.5,compensated
41,value,62.875,compensated
42,mapped,57.5,compensated
42,object,57.0,compensated
42,value,61.959,compensated
42,snapshot,68.0,compensated
42,deny,40.541,denied
42,undoscope,62.708,compensated
42,field,63.875,compensated
43,object,65.583,compensated
43,field,63.291,compensated
43,undoscope,68.083,compensated
43,value,118.167,compensated
43,mapped,74.708,compensated
43,deny,70.708,denied
43,snapshot,90.583,compensated
44,deny,81.334,denied
44,undoscope,109.459,compensated
44,mapped,72.167,compensated
44,object,67.459,compensated
44,value,65.375,compensated
44,snapshot,73.292,compensated
44,field,70.708,compensated
45,object,66.333,compensated
45,deny,40.541,denied
45,snapshot,65.584,compensated
45,mapped,67.375,compensated
45,undoscope,61.0,compensated
45,field,61.166,compensated
45,value,63.958,compensated
46,snapshot,69.959,compensated
46,value,63.833,compensated
46,mapped,68.666,compensated
46,undoscope,78.583,compensated
46,deny,48.5,denied
46,object,64.833,compensated
46,field,67.208,compensated
47,deny,46.167,denied
47,field,86.75,compensated
47,undoscope,73.0,compensated
47,snapshot,72.0,compensated
47,mapped,67.333,compensated
47,object,78.292,compensated
47,value,69.333,compensated
48,mapped,73.583,compensated
48,undoscope,91.083,compensated
48,value,65.917,compensated
48,snapshot,69.667,compensated
48,deny,42.917,denied
48,field,66.209,compensated
48,object,61.5,compensated
49,deny,39.667,denied
49,field,59.959,compensated
49,undoscope,67.5,compensated
49,value,70.0,compensated
49,snapshot,86.916,compensated
49,mapped,68.833,compensated
49,object,88.75,compensated
50,mapped,87.167,compensated
50,undoscope,136.084,compensated
50,snapshot,84.833,compensated
50,value,72.625,compensated
50,deny,50.375,denied
50,field,68.583,compensated
50,object,60.583,compensated
51,field,68.5,compensated
51,object,62.834,compensated
51,snapshot,79.834,compensated
51,deny,39.791,denied
51,undoscope,66.75,compensated
51,value,64.75,compensated
51,mapped,74.834,compensated
52,value,76.125,compensated
52,snapshot,70.875,compensated
52,object,69.75,compensated
52,mapped,66.959,compensated
52,undoscope,73.917,compensated
52,deny,50.042,denied
52,field,61.333,compensated
53,deny,42.375,denied
53,undoscope,66.833,compensated
53,object,60.542,compensated
53,value,81.75,compensated
53,field,70.375,compensated
53,mapped,66.791,compensated
53,snapshot,91.5,compensated
54,object,72.542,compensated
54,snapshot,73.75,compensated
54,value,93.042,compensated
54,deny,46.333,denied
54,field,70.875,compensated
54,undoscope,71.167,compensated
54,mapped,74.875,compensated
55,field,90.292,compensated
55,snapshot,259.75,compensated
55,mapped,100.084,compensated
55,undoscope,80.959,compensated
55,object,72.083,compensated
55,value,63.334,compensated
55,deny,55.333,denied
56,object,71.5,compensated
56,deny,45.458,denied
56,value,64.75,compensated
56,field,63.292,compensated
56,undoscope,60.833,compensated
56,mapped,59.042,compensated
56,snapshot,82.209,compensated
57,deny,44.375,denied
57,snapshot,64.834,compensated
57,undoscope,62.375,compensated
57,field,70.666,compensated
57,mapped,67.833,compensated
57,value,69.292,compensated
57,object,62.791,compensated
58,mapped,66.625,compensated
58,field,65.792,compensated
58,undoscope,62.167,compensated
58,value,67.584,compensated
58,snapshot,73.583,compensated
58,object,69.083,compensated
58,deny,43.083,denied
59,field,66.333,compensated
59,object,58.834,compensated
59,value,79.708,compensated
59,undoscope,79.708,compensated
59,mapped,77.625,compensated
59,deny,50.167,denied
59,snapshot,75.792,compensated
60,field,76.0,compensated
60,value,69.875,compensated
60,snapshot,72.875,compensated
60,object,65.209,compensated
60,mapped,65.459,compensated
60,deny,44.333,denied
60,undoscope,65.875,compensated
61,value,60.792,compensated
61,mapped,61.542,compensated
61,snapshot,163.75,compensated
61,object,235.584,compensated
61,field,181.5,compensated
61,deny,43.916,denied
61,undoscope,69.833,compensated
62,mapped,65.875,compensated
62,field,63.167,compensated
62,value,56.166,compensated
62,snapshot,66.666,compensated
62,undoscope,56.916,compensated
62,object,66.708,compensated
62,deny,50.333,denied
63,snapshot,81.042,compensated
63,deny,51.75,denied
63,object,67.916,compensated
63,value,72.791,compensated
63,mapped,64.167,compensated
63,field,54.75,compensated
63,undoscope,64.917,compensated
64,undoscope,60.625,compensated
64,mapped,76.791,compensated
64,field,64.375,compensated
64,value,59.458,compensated
64,deny,44.375,denied
64,object,74.708,compensated
64,snapshot,71.75,compensated
65,undoscope,65.375,compensated
65,mapped,61.917,compensated
65,field,72.166,compensated
65,deny,42.459,denied
65,snapshot,69.417,compensated
65,object,56.917,compensated
65,value,59.958,compensated
66,value,59.375,compensated
66,snapshot,63.417,compensated
66,mapped,66.459,compensated
66,field,69.708,compensated
66,deny,39.0,denied
66,undoscope,69.792,compensated
66,object,70.709,compensated
67,undoscope,64.708,compensated
67,value,67.125,compensated
67,mapped,60.583,compensated
67,deny,41.042,denied
67,object,117.292,compensated
67,snapshot,81.584,compensated
67,field,76.958,compensated
68,object,77.25,compensated
68,mapped,68.292,compensated
68,undoscope,74.25,compensated
68,value,71.208,compensated
68,field,71.75,compensated
68,deny,51.792,denied
68,snapshot,72.042,compensated
69,mapped,106.958,compensated
69,snapshot,77.5,compensated
69,undoscope,76.833,compensated
69,value,62.708,compensated
69,deny,46.375,denied
69,field,73.042,compensated
69,object,68.083,compensated
70,value,61.334,compensated
70,object,61.459,compensated
70,snapshot,80.375,compensated
70,deny,45.292,denied
70,mapped,72.833,compensated
70,field,87.209,compensated
70,undoscope,66.916,compensated
71,mapped,67.25,compensated
71,object,97.542,compensated
71,deny,52.625,denied
71,undoscope,78.458,compensated
71,value,70.75,compensated
71,snapshot,68.875,compensated
71,field,67.583,compensated
72,undoscope,62.458,compensated
72,object,68.125,compensated
72,field,64.167,compensated
72,deny,44.125,denied
72,value,67.084,compensated
72,snapshot,73.333,compensated
72,mapped,68.209,compensated
73,field,61.25,compensated
73,value,142.959,compensated
73,deny,60.958,denied
73,object,84.958,compensated
73,snapshot,68.792,compensated
73,mapped,64.75,compensated
73,undoscope,76.458,compensated
74,deny,41.625,denied
74,undoscope,60.708,compensated
74,snapshot,74.0,compensated
74,field,65.666,compensated
74,value,63.958,compensated
74,object,72.709,compensated
74,mapped,66.959,compensated
75,deny,42.167,denied
75,undoscope,63.917,compensated
75,object,77.375,compensated
75,mapped,67.875,compensated
75,field,68.459,compensated
75,snapshot,73.875,compensated
75,value,63.0,compensated
76,mapped,60.792,compensated
76,field,68.917,compensated
76,deny,42.541,denied
